Column_A,Column_B,Correlation,P_value,FDR
C18-neg_Cluster_0238,Diagnosis,-0.45399455184031445,4.5666285457462485e-08,8.358301815669027e-07
C18-neg_Cluster_0239,Diagnosis,-0.3058298872813417,0.0003622832524390215,0.0014937009401586496
C18-neg_Cluster_0243,Diagnosis,0.2574591428594604,0.002880080646230545,0.008471726581731337
C18-neg_Cluster_0244,Diagnosis,-0.29969853348484066,0.00048098756399427993,0.0018973597709413235
C18-neg_Cluster_0245,Diagnosis,0.24016110669859042,0.005542058020854551,0.01464202131039745
C18-neg_Cluster_0246,Diagnosis,-0.2357360276806935,0.006506494578593766,0.016730445809763916
C18-neg_Cluster_0249,Diagnosis,-0.22169572211673913,0.010626798523481296,0.025033523252332938
C18-neg_Cluster_0250,Diagnosis,-0.21200151294833694,0.014672972425104097,0.032701879097561976
C18-neg_Cluster_0251,Diagnosis,-0.3210210437690975,0.00017472777251405425,0.0008153962717322533
C18-neg_Cluster_0252,Diagnosis,-0.2904460955383288,0.0007291812832975505,0.0026809473464334604
C18-neg_Cluster_0253,Diagnosis,-0.22066060561344544,0.011006094002630269,0.025769229884962323
C18-neg_Cluster_0254,Diagnosis,-0.22067476519579163,0.011000826370178105,0.025763714061232363
C18-neg_Cluster_0257,Diagnosis,-0.37613001162260884,8.804049822856158e-06,6.918137906983241e-05
C18-neg_Cluster_0258,Diagnosis,0.2039559147339788,0.0189913732605287,0.040490523038351316
C18-neg_Cluster_0261,Diagnosis,0.22219392705980412,0.010448373632884663,0.024698693535603392
C18-neg_Cluster_0262,Diagnosis,-0.38833820445064804,4.202017191630325e-06,3.717944811154511e-05
C18-neg_Cluster_0263,Diagnosis,-0.4976321874326385,1.2749495159638325e-09,3.850086456398631e-08
C18-neg_Cluster_0265,Diagnosis,-0.4215094443591348,4.821938002786647e-07,5.983801886207048e-06
C18-neg_Cluster_0266,Diagnosis,-0.3686909890483151,1.3619961150198381e-05,9.967693652353621e-05
C18-neg_Cluster_0267,Diagnosis,-0.3792404693901999,7.312391479260295e-06,5.908841296214433e-05
C18-neg_Cluster_0271,Diagnosis,-0.2922405903802769,0.0006733763968394291,0.0025190200425464814
C18-neg_Cluster_0272,Diagnosis,-0.231189037491961,0.007650205031385325,0.019088836468611776
